"recordID","scientificName","taxonConceptID","decimalLatitude","decimalLongitude","eventDate","occurrenceStatus","dataResourceName"
"00092b3b-3efa-4370-9fb6-96d277687abe","Cervus","https://biodiversity.org.au/afd/taxa/0e265f1e-7fbb-4023-bdd3-3f42c561cd97",-31.02428,152.77581,2004-07-01,"PRESENT","NSW BioNet Atlas"
"00117c3b-8660-4c50-9a71-51d1f558fe3b","Dama dama","https://biodiversity.org.au/afd/taxa/d3a0dc93-bf65-4a0a-80f3-ab8bb69c6ee1",-29.95866,150.76662,2012-05-13,"PRESENT","NSW BioNet Atlas"
"0013ded7-fcc4-43ba-899c-301ab08f92ba","Dama dama","https://biodiversity.org.au/afd/taxa/d3a0dc93-bf65-4a0a-80f3-ab8bb69c6ee1",-36.69673,148.66167,2014-05-24,"PRESENT","NSW BioNet Atlas"
"001519c7-a3df-4e6e-b687-bb9e3e0649b2","Cervus","https://biodiversity.org.au/afd/taxa/0e265f1e-7fbb-4023-bdd3-3f42c561cd97",-37.11432,149.951988,2019-04-22,"PRESENT","NSW BioNet Atlas"
"00168309-023f-4bb2-b24a-951b18365357","Cervus","https://biodiversity.org.au/afd/taxa/0e265f1e-7fbb-4023-bdd3-3f42c561cd97",-31.45401,152.830775,2004-07-01,"PRESENT","NSW BioNet Atlas"
"0017175d-9096-4731-bc62-eab98a5e011e","Dama dama","https://biodiversity.org.au/afd/taxa/d3a0dc93-bf65-4a0a-80f3-ab8bb69c6ee1",-35.87163,148.15979,2014-05-04,"PRESENT","NSW BioNet Atlas"
"0018fdf4-8f0d-436b-b57b-3fafc43bf69a","Dama dama","https://biodiversity.org.au/afd/taxa/d3a0dc93-bf65-4a0a-80f3-ab8bb69c6ee1",-29.95866,150.76662,2017-04-02,"PRESENT","NSW BioNet Atlas"
"001aaa1a-2c6b-4cc8-ab30-234e4f7d715f","Cervus","https://biodiversity.org.au/afd/taxa/0e265f1e-7fbb-4023-bdd3-3f42c561cd97",-34.145977,150.839497,2017-05-30,"PRESENT","NSW BioNet Atlas"
"001dd02f-b018-4413-9ad3-1b49f0372af3","Cervus timorensis","https://biodiversity.org.au/afd/taxa/d08d7660-7063-46fe-8de9-2f9613608710",-34.195996,151.035177,2009-11-14,"PRESENT","NSW BioNet Atlas"
"001ff075-9332-4a84-9c06-a17c038bd995","Dama dama","https://biodiversity.org.au/afd/taxa/d3a0dc93-bf65-4a0a-80f3-ab8bb69c6ee1",-33.931123,150.637882,2015-10-21,"PRESENT","NSW BioNet Atlas"
